Наименование,Код,Артикул,Ед.,% НДС,Код для НН (по-умолч.),Комментарий
Артания розовое 2022,00-00000281,4820212630118 ,пляш.,20%,2204 21 98 00 ,
Артания розовое 2023,00-00000306,4820212630118 ,пляш.,20%,2204 21 98 00 ,
Артания розовое 2024,00-00000337,4820212630118 ,пляш.,20%,2204 21 98 00 ,
Артания розовое 2025,00-00000376,4820212630118 ,пляш.,20%,,
"АРТАНІЯ  червоне вино виноградне столове сухе  0,750",00000000271,,пляш.,20%,,
"АРТАНІЯ біле вино виноградне столове сухе 0,750",00000000270,,пляш.,20%,,
АРТАНІЯ Резерв 2015 ,00-00000098,,пляш.,20%,,
"АРТАНІЯ Резерв вино ординарне витримане столове сухе червоне 0,750",00-00000066,,пляш.,20%,,
"АРТАНІЯ Резерв ординарне витримане столове сухе червоне  0,750",00-00000065,,пляш.,20%,,
Артанія Резерв Червоне 2016,00-00000169,,пляш.,Без НДС,,
АРТАНІЯ рожеве 2018 ,00-00000075,,пляш.,20%,,
Артанія Червоне 2015,00-00000170,,пляш.,Без НДС,,
Артанія Червоне 2017,00-00000150,,пляш.,Без НДС,,
Атестація виробництва (для отримання ліцензії) ,00000000159,,пляш.,20%,,
Балазо 3л,00000000095,,пляш.,20%,,
Барвник 1301 RT 1л,00-00000366,,мл,20%,,
Барвник 1308 ТТ 1л,00-00000367,,мл,20%,,
Барвник 1314 VT 1л,00-00000368,,мл,20%,,
Бейкуш,00-00000166,,,,,
БЕЙКУШ бiле 2019 ,00-00000141,4820212630279,пляш.,20%,2204 21 97 00,
БЕЙКУШ бiле 2020,00-00000189,4820212630279,пляш.,20%,2204 21 97 00 ,
Бейкуш белое 2017,00-00000106,,пляш.,20%,,NOT_IN_SALE
БЕЙКУШ біле 2018 ,00-00000103,4820212630149,пляш.,20%,2204 21 97 00,
БЕЙКУШ біле 2020,00-00000195,4820212630279,пляш.,20%,2204 21 97 00 ,
БЕЙКУШ біле 2021,00-00000231,4820212630279,пляш.,20%,2204 21 97 00 ,
БЕЙКУШ біле 2022,00-00000278,4820212630279,пляш.,20%,2204 21 97 00 ,
БЕЙКУШ біле 2023,00-00000310,4820212630279,пляш.,20%,2204 21 97 00 ,
БЕЙКУШ біле 2024,00-00000332,4820212630279,пляш.,20%,2204 21 97 00 ,
Бейкуш Біле 2025,00-00000372,4820212630279,пляш.,20%,2204 21 97 00 ,
"БЕЙКУШ біле вино виноградне столове сухе 0,700",00000000272,,пляш.,20%,,
"Бейкуш біле вино виноградне столове сухе Фантазія Альбаріньо 0,750 ",00-00000084,,пляш.,20%,,
Бейкуш красное 2017,00-00000134,,пляш.,20%,,
Бейкуш Красное 2019,00-00000113,,пляш.,20%,,SOLD OUT
Бейкуш Красное 2020,00-00000182,4820212630477,пляш.,20%,2204 21 98 00 ,
Бейкуш Красное 2021,00-00000235,4820212630477,пляш.,20%,2204 21 98 00 ,
Бейкуш Красное 2022,00-00000283,4820212630477,пляш.,20%,2204 21 98 00 ,
Бейкуш Красное 2023,00-00000311,4820212630477,пляш.,20%,2204 21 98 00 ,
Бейкуш Красное 2024,00-00000334,4820212630477,пляш.,20%,2204 21 98 00 ,
Бейкуш Красное 2025,00-00000375,4820212630477,пляш.,20%,2204 21 98 00 ,
Бейкуш Піно Нуар 2017,00-00000116,4820212630354,пляш.,20%,2204 21 98 00,
Бейкуш Піно Нуар 2018,00-00000178,4820212630354,пляш.,20%,2204 21 98 00 ,
Бейкуш Піно Нуар 2019,00-00000201,4820212630354,пляш.,20%,2204 21 98 00,
Бейкуш Піно Нуар 2020,00-00000220,4820212630354,пляш.,20%,2204 21 96 00 ,
Бейкуш Піно Нуар 2021,00-00000288,4820212630354,пляш.,20%,2204 21 96 00 ,
Бейкуш Піно Нуар 2022,00-00000314,4820212630354,пляш.,20%,2204 21 96 00 ,
Бейкуш Піно Нуар 2023,00-00000345,4820212630354,пляш.,20%,2204 21 96 00 ,
Бейкуш Резерв,00-00000167,,,,,
Бейкуш Резерв Піно Нуар 2017,00-00000171,,пляш.,Без НДС,,
Бейкуш Резерв Рислінг 2017,00-00000100,,пляш.,20%,,
Бейкуш Резерв Рислінг 2018,00-00000151,,пляш.,Без НДС,,
Бейкуш Резерв Совіньйон 2018,00-00000162,,пляш.,Без НДС,,
Бейкуш Резерв Совіньон,00-00000163,,пляш.,Без НДС,,
Бейкуш Рислинг 2018,00-00000121,4820212630163 ,пляш.,20%,2204 21 97 00,
Бейкуш Рислинг 2019,00-00000188,4820212630163 ,пляш.,20%,2204 21 97 00 ,
Бейкуш Рислинг 2020,00-00000232,4820212630163 ,пляш.,20%,2204 21 95 00 ,
Бейкуш Рислинг 2021,00-00000273,4820212630163 ,пляш.,20%,2204 21 95 00 ,
"Бейкуш Рислінг ординарне витримане столове сухе сортове біле 0,750 ",00-00000092,,пляш.,20%,,
Бейкуш Ркацители 2019 ,00-00000123,4820212630323,пляш.,20%,2204 21 97 00,
Бейкуш Ркацители 2020 ,00-00000187,4820212630323,пляш.,20%,2204 21 97 00 ,
Бейкуш Ркацителі 2019,00-00000154,,пляш.,Без НДС,,
"БЕЙКУШ рожеве вино виноградне столове сухе, 0,750",00-00000002,,пляш.,,,
Бейкуш Совиньон 2017,00-00000110,4820212630187,пляш.,20%,2204 21 97 00,
Бейкуш Совиньон 2018,00-00000142,4820212630187,пляш.,20%,2204 21 97 00,
Бейкуш Совиньон 2019,00-00000206,4820212630187,пляш.,20%,,
Бейкуш Совиньон 2019,00-00000210,4820212630187,пляш.,20%,,
Бейкуш Совиньон 2020,00-00000243,4820212630187,пляш.,20%,2204 21 95 00 ,
Бейкуш Совиньон 2021,00-00000292,4820212630187,пляш.,20%,2204 21 95 00 ,
"Бейкуш Совіньон ординарне витримане столове сухе сортове біле 0,750 ",00-00000091,,пляш.,20%,,
Бейкуш Тельти-Курук 2019 ,00-00000126,,пляш.,20%,2204 21 97 00 ,SOLD OUT
Бейкуш Тельти-Курук 2020 ,00-00000183,4820212630347,пляш.,20%,2204 21 97 00 ,SOLD OUT
Бейкуш Тельти-Курук 2021,00-00000241,4820212630347,пляш.,20%,2204 21 97 00 ,SOLD OUT
Бейкуш Тельти-Курук 2022,00-00000284,4820212630347,пляш.,20%,2204 21 97 00 ,SOLD OUT
Бейкуш Тельти-Курук 2023,00-00000305,4820212630347,пляш.,20%,2204 21 95 00 ,SOLD OUT
Бейкуш Тельти-Курук 2024,00-00000333,4820212630347,пляш.,20%,2204 21 97 00 ,SOLD OUT
"Бейкуш Фантазія біле вино ординарне витримане столове сухе 0,750",00-00000085,,пляш.,20%,,
"Бейкуш Фантазія Тиморассо біле вино ординарне витримане столове сухе 0,750",00-00000095,,пляш.,20%,,
"БЕЙКУШ червоне вино 2018 виноградне столове сухе 0,700",00-00000078,,пляш.,20%,,
"БЕЙКУШ червоне вино виноградне столове сухе 0,700",00000000273,,пляш.,20%,,
"БЕЙКУШ червоне вино виноградне столове сухе 2018 0,700",00-00000096,,пляш.,20%,,
Бейкуш Шардоне 2014 ,00-00000108,4820212630194,пляш.,20%,2204 21 97 00,
Бейкуш Шардоне 2015,00-00000107,4820212630194,пляш.,20%,2204 21 97 00,
Бейкуш Шардоне 2017,00-00000099,,пляш.,20%,,
Бейкуш Шардоне 2019,00-00000122,,пляш.,20%,,
Бейкуш Шардоне 2020,00-00000193,,пляш.,20%,2204 21 97 00 ,
Бейкуш Шардоне 2020,00-00000191,4820212630316,пляш.,20%,2204 21 97 00 ,
Бейкуш Шардоне 2021,00-00000242,4820212630316,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне 2022,00-00000282,4820212630316,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне 2023,00-00000312,4820212630316,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне 2024,00-00000331,4820212630316,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне 2025,00-00000374,4820212630316,пляш.,20%,2204 21 97 00 ,
Бейкуш Шардоне Резерв 2018 ,00-00000125,4820212630385,пляш.,20%,2204 21 97 00,
Бейкуш Шардоне Резерв 2019 ,00-00000198,4820212630385,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне Резерв 2020,00-00000247,4820212630385,пляш.,20%,,
Бейкуш Шардоне Резерв 2021,00-00000289,4820212630385,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне Резерв 2022,00-00000320,4820212630385,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне Резерв 2023,00-00000346,4820212630385,пляш.,20%,2204 21 95 00 ,
Бейкуш Шардоне-Рислинг 2015 ,00-00000097,,пляш.,20%,,
Бейкуш Шардоне-Рислинг 2017 ,00-00000133,,пляш.,20%,,
Бейкуш Шардоне-Рислінг 2014,00-00000109,4820212630200,пляш.,20%,2204 21 97 00,
Бензин А-92,00000000162,,л.,20%,,
Бензин А-92(Євро),00000000199,,пляш.,20%,,
Бензин А-95,00000000182,,л.,20%,,
Бензин А-95,00000000163,,л.,20%,,
Бентоніт електра,00-00000008,,кг,,,
благотворительность,00000000114,,пляш.,Без НДС,,
Божоле,00-00000302,,шт,20%,,
Болт кардан 24 з гайкою шт,00000000260,,пляш.,20%,,
Борона зубова важка,00000000057,,пляш.,20%,,
Ботинки,00-00000026,,шт,20%,,
Бочка дубова 225 л,00-00000004,,пляш.,20%,,
Бочка дубова 375 л,00-00000005,,пляш.,20%,,
Брендована продукція,00-00000172,,шт,,,
"Буклет ""Бейкуш""",00-00000327,,шт,Без НДС,,
Бур,00000000092,,пляш.,20%,,
Бур 8Х100,00000000093,,пляш.,20%,,
Бутылка,00-00000226,,шт,20%,,
Бутылка винная 700,00000000204,,пляш.,20%,,
Бутылка винная 750,00000000205,,пляш.,20%,,
бухобслуживание,00000000014,,пляш.,Без НДС,,
Бюретка 1,00000000149,,пляш.,20%,,
Бюретка 2,00000000150,,пляш.,20%,,
Бюретка 25,00000000151,,пляш.,20%,,
В ПРОДАЖЕ,00-00000215,,,,,
ВА 47-29,00000000225,,пляш.,20%,,
Ваги електронні ВПЕ-Центровес-300-405-СМ1,00000000174,,пляш.,20%,,
Важіль регулятора тиску,00000000248,,пляш.,20%,,
Вал карданный,00000000173,,пляш.,20%,,
Весы электронные ВПЕ-Центрвес 300-405-СМ1,00000000212,,пляш.,20%,,
Визначення безпеки у винограді,00000000083,,пляш.,20%,,
Вимикач 1кл,00000000120,,пляш.,20%,,
Вимикач 2кл,00000000119,,пляш.,20%,,
Вимірювання місткості ємності для харчових рідин до 100 куб.дм.,00000000217,,пляш.,20%,,
Вимірювання місткості ємності для харчових рідин до 200 куб.дм.,00000000216,,пляш.,20%,,
Вина,00-00000145,,,,,
винна кислота,00-00000030,,кг,20%,,
"Вино  “Артанія” ординарне столове сухе біле 2020 Пляшка скляна, колір оливковий, місткість 0,75 л",00-00000217,,пляш.,20%,,
"Вино  “Артанія” ординарне столове сухе червоне 2020 Пляшка скляна, колір оливковий, місткість 0,75 л",00-00000218,,пляш.,20%,,
Вино виноградне ординарне столове сухе біле АРТАНІЯ,00000000265,,пляш.,20%,,
Вино виноградне ординарне столове сухе біле БЕЙКУШ,00000000263,,пляш.,20%,,
Вино виноградне ординарне столове сухе червоне  АРТАНІЯ,00000000264,,пляш.,20%,,
Вино виноградне ординарне столове сухе червоне БЕЙКУШ,00000000266,,пляш.,20%,,
Вино сухе столове Кара Кермен 2014,00-00000271,,пляш.,20%,,
Вино тихе сухе столове Beykush Reserv Chardonnay (White UA),00-00000343,4820212630385,пляш.,20%,2204 21 95 00 ,
Вино у пляшках,00000000267,,,,,
Вино у пляшках 2020,00-00000137,,,,,
Вино у шт,00000000262,,,,,
Виноград,00000000233,,кг,20%,,
Виноград,00000000082,,кг,20%,,
Виноград Ркацителі,00000000081,,кг,20%,,
Виноматериал,00-00000063,,л.,Без НДС,,
Відцентровий насос NOVAX 20-B 230 Va. c. HP 0.50-95C Liquid max,00-00000082,,шт,20%,,
Вода для цеха,00-00000015,,м3,,,
Вода кавунова UFC,00-00000260,,шт,20%,,
Вода мінеральна Evian,00-00000262,,шт,20%,,
Вода мінеральна Voss негазована,00-00000261,,шт,20%,,
Водяной счетчик,00000000160,,пляш.,20%,,
"Г/комплект 6х0,75 бейкуш вайнери",00-00000053,,шт,,,
газ,00-00000028,,л.,20%,,
Гайка для фільтра всмоктуючого,00000000098,,пляш.,20%,,
Герметик-прокладка (85 грн),00000000275,,пляш.,20%,,
Гигрометр психометрический ВІТ-1 ТУ 3,00000000188,,пляш.,20%,,
Гигрометр психометрический ВІТ-2 ТУ 3,00000000189,,пляш.,20%,,
Годинник пісочний,00000000154,,пляш.,20%,,
Гофротруба,00000000230,,пляш.,20%,,
Датчик х/хода 406,00000000253,,пляш.,20%,,
дегустації,00-00000240,,шт,20%,,
Дезинфицирующее средство РЕ15 neoseptal,00000000201,,пляш.,20%,,
Демітан 200 к.с. (1л),00000000067,,л.,20%,,
Джутова пряжа трьохниткова,00000000065,,кг,20%,,
Диз.Паливо,00000000161,,л.,20%,,
Динали 90 ДС,00000000170,,пляш.,20%,,
"Диск пильний ECO WO 254[30-80T,BOSCH 2608644384",00-00000362,,шт,20%,,
Док Про 2 кг,00000000211,,пляш.,20%,,
доставка,00-00000135,,грн,Без НДС,,
"Дріт оцинкований т/н ф 1,2",00000000052,,м,20%,,
Дріт оцинкований т/н ф 2.5,00000000062,,тн.,20%,,
"Дріт оцинкований т/н ф 3,0",00000000046,,м,20%,,
Електротехнічні вимірювання електроустаткування цеху,00000000129,,пляш.,20%,,
"Емаль ПФ-115 0,9 кг 512 біла акація",00000000240,,пляш.,20%,,
"Емаль ПФ-115 0,9 кг 516 попелясто-сіра",00000000243,,пляш.,20%,,
"Емаль ПФ-115 0,9 кг 575 червона калина",00000000241,,пляш.,20%,,
"Емаль ПФ-115 0,9 кг 576 стигла вишня",00000000242,,пляш.,20%,,
Етикетка Вино Артания біле,00-00000046,,шт,,,
Етикетка Вино Артания розовое,00-00000033,,шт,,,
Етикетка Вино Артания червоне,00-00000047,,шт,,,
Етикетка Вино Бейкуш біле,00-00000044,,шт,,,
Етикетка Вино Бейкуш рожеве,00-00000014,,шт,,,
Етикетка Вино Бейкуш червоне,00-00000045,,шт,,,
"Етикетка з лого ""Ельмотех""",00-00000207,,пляш.,20%,,
"Ємність нерж.для вина з пневматичною плаваючею кришкою, 1000л",00-00000001,,шт,20%,,
"Ємність нерж.для вина з пневматичною плаваючею кришкою, 600л",00-00000006,,шт,20%,,
"Ємність нерж.для вина з пневматичною плаваючею кришкою, 600л",00-00000007,,шт,20%,,
Жилет утепленній,00-00000017,,шт,,,
Зажим анкерный ЗА 4х916-25),00000000214,,пляш.,20%,,
Запчасти к транспорту,00000000172,,,,,
Захистний склад д/деревени Aura Terrace 9л,00-00000365,,шт,20%,,
Земельна ділянка,00-00000267,,га,Без НДС,,
Знижка 12%,00-00000245,,шт,20%,,
зручна доставка,00-00000024,,шт,20%,,
зручна доставка,00-00000025,,шт,20%,,
Игристое белое,00-00000208, 4820212630446,пляш.,20%,2204 10 98 00 ,
Игристое розовое,00-00000175,4820212630460,пляш.,20%,2204 10 98 00 ,
Ингредиенты,00-00000143,,,,,
Информационно-технологическое сопровождение 1с,00000000209,,пляш.,Без НДС,,
Ізострічка червона,00000000123,,пляш.,20%,,
Ілюзія 2019,00-00000146,,пляш.,Без НДС,,
йод стандарт-титр ,00000000238,,упак.,20%,,
Кабель СИП-4 4х16 Ст,00000000213,,км,20%,,
Камелот,00000000210,,пляш.,20%,,
"Канал кабельний 25х25мм 2,00м",00000000125,,пляш.,20%,,
"Канал кабельний16х16мм 2,00м",00000000124,,пляш.,20%,,
Канонир Дуо 1л,00000000168,,пляш.,20%,,
Канцтовари,00-00000003,,шт,20%,,
Кара Кармен 2013 (магнум),00-00000264,,пляш.,20%,,
Кара Кармен 2017 (магнум),00-00000204,,пляш.,20%,,
Кара Кермен 2015,00-00000094,4820212630231,пляш.,20%,2204 21 98 00,
Кара Кермен 2016,00-00000114,4820212630309,пляш.,20%,2204 21 98 00,
Кара Кермен 2017,00-00000180,4820212630309,пляш.,20%,2204 21 98 00 ,
Кара Кермен 2018,00-00000256,4820212630309,пляш.,20%,2204 21 98 00 ,
Кара Кермен 2018 (магнум),00-00000269,,пляш.,20%,,
Кара Кермен 2019,00-00000296,4820212630309,пляш.,20%,2204 21 98 00 ,
Кара Кермен 2019 (магнум),00-00000297,,пляш.,20%,,
Кара Кермен 2020,00-00000321,4820212630309,пляш.,20%,2204 21 98 00 ,
Кара Кермен 2020 (магнум),00-00000322,4820212630309,пляш.,20%,2204 21 98 00 ,
Кара Кермен 2021,00-00000344,4820212630309,пляш.,20%,2204 21 98 00 ,
"КАРА КЕРМЕН вино ординарне витримане столове спеціального типу сухе червоне 0,700 ",00-00000080,,пляш.,20%,,
Картон фільтрувальний,00-00000011,,шт,,,
Каток,00000000013,,пляш.,20%,,
Каток СБ,00000000038,,пляш.,20%,,
Кінцева опора  виноградників 2400*55*37 г/ц,00000000044,,пляш.,20%,,
Кінцева опора  виноградників 2500*60*40 г/ц,00000000048,,пляш.,20%,,
Ключ 15,00000000255,,пляш.,20%,,
колба 1-250,00000000155,,пляш.,20%,,
Колба 1-250-2,00000000158,,пляш.,20%,,
колба 1-500,00000000142,,пляш.,20%,,
колба 1000,00000000136,,пляш.,20%,,
колба 2-1000,00000000138,,пляш.,20%,,
колба 2-1000-2,00000000140,,пляш.,20%,,
колба 2-500,00000000137,,пляш.,20%,,
колба 250,00000000134,,пляш.,20%,,
колба 2а-100,00000000139,,пляш.,20%,,
колба 500,00000000135,,пляш.,20%,,
колба Бунзена 1-250,00000000141,,пляш.,20%,,
Колба Кн-3-500-50 ТС,00000000193,,пляш.,20%,,
колба мірна 9-750,00000000234,,пляш.,20%,,
колба мірна 9-750 з град.горловиною ГОСТ 12738-77 (1284),00-00000052,,шт,,,
колба плоскодонна,00000000235,,пляш.,20%,,
Колба с делениями Кн-2-250-50 ,00000000195,,пляш.,20%,,
Колба с делениями Кн-2-500-50 ТС,00000000194,,пляш.,20%,,
Кольт з.п. 20кг,00000000102,,пляш.,20%,,
Командор,00000000166,,л.,20%,,
Комплект взуття спеціального призначення,00-00000295,,пляш.,20%,,
Комплект одягу спеціального призначення,00-00000294,,комплект,20%,,
Консультационные услуги,00000000091,,пляш.,20%,,
"Контейнер Палокс 1200*1000*780мм, суцільна, 2 полоза з кришкою",00000000068,,пляш.,20%,,
"Контейнер пласт. 1200*1000*1000 мм, суц. сірий",00-00000087,,шт,20%,,
Копіювання НД  з використання паперових примірників,00000000128,,пляш.,20%,,
Костюм ПВХ,00-00000019,,шт,,,
"Коуш ф 4,0",00000000054,,пляш.,20%,,
Кран для контейнера BicBox (2 дюйма),00000000008,,пляш.,20%,,
Кран шаровый Гросс,00000000207,,пляш.,Без НДС,,
Крапельниця ,00000000143,,пляш.,20%,,
Краплеулавлювач ,00000000153,,пляш.,20%,,
"Кришка до Палоксу, чорна, 1210*1010 мм",00000000069,,пляш.,20%,,
"Кришка пластикова 1200*1000 мм, сіра",00-00000086,,шт,20%,,
Культиватор,00000000012,,пляш.,20%,,
"Культиватор навесной 2,5 м",00000000037,,пляш.,20%,,
Куртка утеплена,00-00000018,,шт,,,
лаборатория,00000000133,,,,,
Лампа диодн 4W,00000000131,,пляш.,20%,,
Лампа диодн 7W,00000000132,,пляш.,20%,,
ЛД 2023,00-00000370,,,,,
Лейка метал. CARLIFE FM 002 косая,00000000258,,пляш.,20%,,
Лерич 2020,00-00000263,4820212630507,пляш.,20%,2204 21 97 00 ,
Лерич 2021,00-00000293,4820212630309,пляш.,20%,2204 21 97 00 ,
Лерич 2022,00-00000324,4820212630507,пляш.,20%,2204 21 97 00 ,
Лерич 2023,00-00000336,4820212630507,пляш.,20%,,
Лист п/п 1200*1000,00-00000067,,шт,20%,,
Ліцензія для малих виробництв виноробної продукції ,00-00000328,,шт,Без НДС,,
Ліцензія на виробництво алкогольних напоїв,00000000261,,пляш.,Без НДС,,
Лока Дезерта,00-00000250,4820212630521,пляш.,20%,2204 21 98 00 ,
Лока Дезерта 2020,00-00000298,4820212630521,пляш.,20%,2204 21 98 00 ,
Лока Дезерта 2021,00-00000323,4820212630521,пляш.,20%,2204 21 98 00 ,
Лока Дезерта 2022,00-00000358,4820212630521,пляш.,20%,2204 21 98 00 ,
М/гідравл.(20л) HLP46,00000000276,,пляш.,20%,,
Малолактичні бактерії Uvaferm Beta MBR 25г.,00000000015,,упак.,20%,3002 90 50 00,
Марки акцизного податку АВ ВП,00-00000325,,шт,Без НДС,,
Материалы,00000000002,,,,,
Материалы,00000000011,,пляш.,20%,,
